"Term [en]","Description [en]","Part of Speech [en]","Term [ja]","Description [ja]","Part of Speech [ja]"
Abrasive,,,研磨剤,,
"Daggers of Radiance",,,ダガーオブラディアンス,,
"Head to ""<SPOT 551>"" of Volden Mines",,,"ボルド鉱山の＜<SPOT 551>＞へ向かう",,
"Mergoda's Resource Issue ",,," メルゴダ資源事情",,
"Seeker became Job Level 96",,,シーカーのジョブレベルが96になった,,
"Mergodan Residence",,,メルゴダ民の住居,,
"Head to ""<SPOT 561>"" of southern Deenan Woods",,,"南方のディナン深層林＜<SPOT 561>＞へ向かう",,
"Warrior became Job Level 29",,,ウォリアーのジョブレベルが29になった,,
"Daggers of Vanguard",,,ダガーオブバンガード,,
"Abridged Bow",,,アブリッジドボウ,,
"Warrior became Job Level 30",,,ウォリアーのジョブレベルが30になった,,
"Seeker became Job Level 97",,,シーカーのジョブレベルが97になった,,
"Head to ""<SPOT 585>"" of Breya Coast",,,"ブリア海岸の＜<SPOT 585>＞へ向かう",,
Dagon,,,ダゴン,,
"Absolute Guardian Deity",,,絶対守護神,,
"Head to ""<SPOT 897>"" to collect new plants",,,"新たな植物採取のため＜<SPOT 897>＞へ向かう",,
"Seeker became Job Level 98",,,シーカーのジョブレベルが98になった,,
"Absorbent Cloth",,,油取り布,,
"Warrior became Job Level 31",,,ウォリアーのジョブレベルが31になった,,
Daily,,,毎日,,
"Merit Medal (Direwolf)",,,戦功勲章【大狼】,,
"Seeker became Job Level 99",,,シーカーのジョブレベルが99になった,,
"Head to ""<STG 577>""",,,"＜<STG 577>＞に向かう",,
"Daily Patrol Records Dropped by the Military Police.
Written in different handwriting by multiple military policemen,
but all the formats are the same.
""<22:00 Confirm target>
Location: Megado Residential Area, East Gate
Number of people: 5
Report: Discovered the site of a reported association gathering
 All members are citizens
 Arrested and taken into custody on the spot, mission complete""
Following that, similar records continue in a steady manner.",,,"憲兵が落とした日々の巡回記録
複数の憲兵により異なる筆跡で書かれているが
どれも書式は共通している
“ ＜22時　対象を確認＞
　　場所：メガド居住区東小門前
　　人数：5名
　　報告：通報のあった結社集会の現場を発見
　　　　　構成員は全て市民のため
　　　　　その場で拘束・連行し、任務完了 ”
以下、同じような記録が淡々と続いている",,
Absorption,,,積吸,,
"Merit Medal (Large Bear)",,,戦功勲章【大熊】,,
"Warrior became Job Level 32",,,ウォリアーのジョブレベルが32になった,,
"Absorption LV.3",,,"積吸 LV.3",,
"Warrior became Job Level 33",,,ウォリアーのジョブレベルが33になった,,
"Head to ""<STG 800>""",,,"＜<STG 800>＞に向かう",,
"Seeker became Job Level 100",,,シーカーのジョブレベルが100になった,,
Dalia,,,ダリア,,
"Merit Medal (Lion)",,,戦功勲章【獅子】,,
"Seeker became Job Level 101",,,シーカーのジョブレベルが101になった,,
"Warrior became Job Level 34",,,ウォリアーのジョブレベルが34になった,,
"Merit Medal (Orangutan)",,,戦功勲章【猩々】,,
Dalmatica,,,ダルマティカ,,
"Head to ""<STG 802>""",,,"＜<STG 802>＞に向かう",,
"Absorption LV.4",,,"積吸 LV.4",,
"Seeker became Job Level 102",,,シーカーのジョブレベルが102になった,,
"Merit Medal (Peafowl)",,,戦功勲章【孔雀】,,
"Head to ""<STG 803>""",,,"＜<STG 803>＞に向かう",,
"Absorption LV.5",,,"積吸 LV.5",,
"Warrior became Job Level 35",,,ウォリアーのジョブレベルが35になった,,
Damad,,,ダーマード,,
"Merit Medal (Stag)",,,戦功勲章【牡鹿】,,
"Seeker became Job Level 103",,,シーカーのジョブレベルが103になった,,
"Warrior became Job Level 36",,,ウォリアーのジョブレベルが36になった,,
"Head to ""<STG 804>""",,,"＜<STG 804>＞に向かう",,
"Absorption LV.6",,,"積吸 LV.6",,
Damage,,,ダメージ,,
"Damage inflicted by the High Scepter's non-elemental magic increases.
*This effect is activated when attacking or when matching the attribute of the status application.
(Note: This effect is invalid during enchantment changes).",,,"ハイセプターの魔法無属性によって
与えるダメージ量が増加する
※攻撃時や、ステータス適用の
魔法属性と一致する場合、効果を発揮する
 (エンチャント変化時は無効)",,
Merman,,,マーマン,,
"Seeker became Job Level 104",,,シーカーのジョブレベルが104になった,,
"Warrior became Job Level 37",,,ウォリアーのジョブレベルが37になった,,
"Head to ""<STG 805>""",,,"＜<STG 805>＞に向かう",,
"Abundant Augite Earrings",,,豊輝石のピアス,,
"Head to ""<STG 806>""",,,"＜<STG 806>＞に向かう",,
"Warrior became Job Level 38",,,ウォリアーのジョブレベルが38になった,,
"Seeker became Job Level 105",,,シーカーのジョブレベルが105になった,,
"Merry Christmas!",,,メリークリスマス！,,
"Abyss Dweller",,,アビスドゥエラー,,
"Damascus Cuisses",,,ダマスクスキュイス,,
Mertem,,,メルテム,,
"Warrior became Job Level 39",,,ウォリアーのジョブレベルが39になった,,
"Seeker became Job Level 106",,,シーカーのジョブレベルが106になった,,
"Head to ""<STG 807>""",,,"＜<STG 807>＞に向かう",,
"Abyssal Ice of Chaos",,,混沌の淵氷,,
"Damascus Guard",,,ダマスクスガード,,
"Warrior became Job Level 40",,,ウォリアーのジョブレベルが40になった,,
"Seeker became Job Level 107",,,シーカーのジョブレベルが107になった,,
"Head to ""<STG 808>""",,,"＜<STG 808>＞に向かう",,
Meryem,,,メリエム,,
"Abyssal Ice of Ruin",,,破滅の淵氷,,
"Damascus Helm",,,ダマスクスヘルム,,
"Seeker became Job Level 108",,,シーカーのジョブレベルが108になった,,
"Head to ""<STG 809>""",,,"＜<STG 809>＞に向かう",,
Mesocaldia,,,メソカルディア,,
"Damascus Plate",,,ダマスクスプレート,,
"Warrior became Job Level 41",,,ウォリアーのジョブレベルが41になった,,
Accept,,,受ける,,
"Warrior became Job Level 42",,,ウォリアーのジョブレベルが42になった,,
"Head to ""<STG 821>""",,,"＜<STG 821>＞に向かう",,
Message,,,伝言メモ,,
"Seeker became Job Level 109",,,シーカーのジョブレベルが109になった,,
"Damascus Shield",,,ダマスクスシールド,,
"Accept <NPC 3259> as a friend",,,"<NPC 3259>を仲間に迎える",,
"Head to ""<STG 822>""",,,"＜<STG 822>＞に向かう",,
"Accept Conditions",,,受注条件情報,,
"Damn - the wounds on my body...!",,,くっ――私の体に傷が――！,,
"Message to Members",,,メンバーへのメッセージ,,
"Warrior became Job Level 43",,,ウォリアーのジョブレベルが43になった,,
"Seeker became Job Level 110",,,シーカーのジョブレベルが110になった,,
"Seeker became Job Level 111",,,シーカーのジョブレベルが111になった,,
"Accept Others' Sound",,,他人のサウンドを受け入れる,,
"Head to ""<STG 824>""",,,"＜<STG 824>＞に向かう",,
"Warrior became Job Level 44",,,ウォリアーのジョブレベルが44になった,,
"Damn it, there is no such thing!",,,くっ、ざまぁ――ありません――！,,
Messenger,,,不在伝言係,,
"Accept Request",,,依頼を受ける,,
"Damn, I was caught off guard--!",,,ちっ、油断したわ――！,,
"Warrior became Job Level 45",,,ウォリアーのジョブレベルが45になった,,
"Met Party Members",,,パーティメンバーと出会った時,,
"Head to ""<STG 825>""",,,"＜<STG 825>＞に向かう",,
"Seeker became Job Level 112",,,シーカーのジョブレベルが112になった,,
"Met my expectations",,,期待通りだった,,
"Warrior became Job Level 46",,,ウォリアーのジョブレベルが46になった,,
"Seeker became Job Level 113",,,シーカーのジョブレベルが113になった,,
"Damned Destroyer",,,ダムドデストロイヤー,,
"Accept Requirements",,,受注条件,,
"Head to ""<STG 840>""",,,"＜<STG 840>＞に向かう",,
"Seeker became Job Level 114",,,シーカーのジョブレベルが114になった,,
"Damned Goblin",,,ダムドゴブリン,,
"Head to ""<STG 841>""",,,"＜<STG 841>＞に向かう",,
"Warrior became Job Level 47",,,ウォリアーのジョブレベルが47になった,,
Metal,,,金属,,
"Accept a quest from the Quest Board",,,クエストボードの依頼を1つ受注する,,
"Accepting Participants",,,参加受付中,,
"Seeker became Job Level 115",,,シーカーのジョブレベルが115になった,,
"Damned Goblin Fighter",,,ダムドゴブリンファイター,,
"Metal Riff Arm",,,メタルリーフアーム,,
"Warrior became Job Level 48",,,ウォリアーのジョブレベルが48になった,,
"Head to ""<STG 842>""",,,"＜<STG 842>＞に向かう",,
Metempsychosis,,,ミーテムサイカーシス,,
"Accomplish <VAL> achievements",,,"アチーブメント合計達成数 <VAL>個で獲得",,
"Head to ""<STG 843>""",,,"＜<STG 843>＞に向かう",,
"Warrior became Job Level 49",,,ウォリアーのジョブレベルが49になった,,
"Damned Golem",,,ダムドゴーレム,,
"Seeker became Job Level 116",,,シーカーのジョブレベルが116になった,,
"Accomplish the task and report to the <VAL> Job Master.",,,<VAL>で課題を達成し、ジョブマスターに報告せよ,,
"Meteors are falling down because of the
""Dragon Crystal of Flame"".",,,"“魔岩の竜晶”の出現により
空から火山弾が降り注ぐ――",,
"Seeker became Job Level 117",,,シーカーのジョブレベルが117になった,,
"Warrior became Job Level 50",,,ウォリアーのジョブレベルが50になった,,
"Damned Sling Goblin",,,ダムドスリングゴブリン,,
"Head to ""<STG 850>""",,,"＜<STG 850>＞に向かう",,
"Seeker became Job Level 118",,,シーカーのジョブレベルが118になった,,
"Accomplish the task and report to the Job Master.",,,課題を達成し、ジョブマスターに報告せよ,,
"Head to ""<STG 870>""",,,"＜<STG 870>＞に向かう",,
"Damned Wolf",,,ダムドウルフ,,
Metrophanes,,,メトロファネス,,
"Warrior became Job Level 51",,,ウォリアーのジョブレベルが51になった,,
"Seeker became Job Level 119",,,シーカーのジョブレベルが119になった,,
"Head to ""<STG 871>""",,,"＜<STG 871>＞に向かう",,
Damping,,,制動,,
"Accomplished Healer",,,癒しの道士,,
Mia,,,ミーア,,
"Warrior became Job Level 52",,,ウォリアーのジョブレベルが52になった,,
"Seeker became Job Level 120",,,シーカーのジョブレベルが120になった,,
Dan,,,ダン,,
"Head to ""<STG 872>""",,,"＜<STG 872>＞に向かう",,
"Accomplished Helm",,,結実のヘルム,,
Miasmatic,,,瘴気を纏う,,
"Warrior became Job Level 53",,,ウォリアーのジョブレベルが53になった,,
"Miasmic Demon",,,瘴気の魔獣,,
"Seeker lightning damage UP",,,シーカーの雷属性ダメージUP,,
"Warrior became Job Level 54",,,ウォリアーのジョブレベルが54になった,,
"According to Gearóid, who regained consciousness, it was Loeg and the enemies he commanded who stole the Primeval Drops. Despite predicting their actions and hoping for a peaceful resolution upon reaching their destination, it ended up escalating into a battle.
The approximate background was that Loegs's resentment towards the people of Phindym, who ignored his parent's illness and death, was exploited by the Black Knight. In any case, the Primeval Drops have been returned to Cecily and her companions.

Wit",,,"　意識を取り戻したガラダが語ったところによると、
原始の雫を奪ったのは、あのロイグと、ロイグが使役
する魔物だったとのこと
　行動を予想し、その結果、目的地で再会できたもの
の、半ば覚悟していたとおり話し合いで解決というわ
けにはいかず、戦闘と相成った
　自分の親の病気と、死を見て見ぬふりでやり過ごし
たフィンダムの風潮と、人々を恨んだロイグのその憎
しみを黒騎士に利用されたというのがおおよその経緯
らしい
　ともあれ、原始の雫はセシリーたちの手に戻った。
事変の終結まであと少し――そろそろ期待してもいい
だろう",,
"Head to ""Abandoned Underground Passage""",,,＜棄てられた地下道＞に向かう,,
Dana,,,ダーナ,,
Michaela,,,ミカエラ,,
"Warrior became Job Level 55",,,ウォリアーのジョブレベルが55になった,,
"Head to ""Betland Cemetery""",,,＜バートランド墓地＞に向かう,,
"Seeker strike damage UP",,,シーカーの打属性ダメージUP,,
"According to a book found in the ruins, there is a beautiful underground waterway built by the elves somewhere.",,,"どこかにあるという、エルフ達が築いた
美しい地下水路
遺跡で見つかった書物に存在が記されていた",,
"Accumulate magick",,,魔力を溜めよ,,
"Head to ""Cliff Tunnels""",,,＜断崖の坑道＞に向かう,,
"Seeker's Dark Attribute Damage UP",,,シーカーの闇属性ダメージUP,,
"Warrior became Job Level 56",,,ウォリアーのジョブレベルが56になった,,
Middle,,,通常,,
"Seeker's Holy Attribute Damage UP",,,シーカーの聖属性ダメージUP,,
"Middle Mouse Button",,,マウス中ボタン,,
"Accursed Court Lady",,,呪われし女官,,
"Warrior became Job Level 57",,,ウォリアーのジョブレベルが57になった,,
"Head to ""Forest People's Tunnel""",,,＜森民の地下道＞に向かう,,
"Dana Centrum",,,ダナ・セントラム,,
"Head to ""Gate of Sacred Grounds"" in the Farana Plains",,,ファーラナ平原にある＜聖域の門＞へ向かう,,
"Middle Mouse Button (Multiple item selection, etc)",,,"マウス中ボタン（アイテムの複数選択 等）",,
"Accursed Guard",,,呪われし番兵,,
"Dana Chief's Home",,,ダナ族長の家,,
"Seeker's Staff",,,求道者の杖,,
"Warrior became Job Level 58",,,ウォリアーのジョブレベルが58になった,,
"Danandell Cave",,,ダナンデール洞窟,,
"Warrior became Job Level 59",,,ウォリアーのジョブレベルが59になった,,
