最早、話すことなどない,There is nothing to say anymore.,
"わたしはイゼル――
あなたはきっと、私の名をご存じないだろうけど",I am Isel-- You probably don't know my name.,
"この弓で何度、王家を狙う不届き者を射抜いたことか
でも、今はそうすることもできないのよね
歯がゆいわ",Worrying is not in my nature. Let me go where the fighting is.,
"あら、あなたのお仲間さんは
もう道を拓いているようね","Oh, looks like your fellow is already blazing a trail.",
"お仲間さんの力をたどって
一時的に道を開くこともできるわよ
どうする？",We can temporarily open a path by following the power of your comrades. What do you want to do?,
通常開拓する,Explore normally.,
仲間の力をたどる,Follow the power of your companion,
"私はアッカー王家に仕えてきた
ダーマードという――
貴殿をこの先へ導こう","I have served the Acre royal family.
My name is Damad.
I will guide you from now on.",
"ほこらの中にただよう力を
私の元まで集めてきてくれないか
さすれば、ここを埋める土砂を一掃してみせよう","Gather the power that lies within the dust and come to me, and I will sweep away the sediment that fills this place!",
"――よくやってくれた
これだけの力が戻れば
この道を拓く程度のことはできるだろう","You did well. If only this much strength can return, we should be able to clear this path.",
"土砂を一掃し、二度とこの道が
埋まらぬよう力を尽くそう
かつて王の剣であったこの魂にかけても",Let's clear away the debris and do our best to ensure this path won't be blocked again. I swear it on the soul of the sword that once belonged to the king.,
"先へ進むといい、白き竜の覚者よ
アッカーシェランにかかる霧を払ってくれ","Go ahead, White Dragon's Arisen, and dispel the fog that hangs over Acre Selund.",
"道を通すまでの間
しばし待つことだ、白き竜の覚者よ","Until the road is cleared, it is necessary to wait for a while, O Arisen of the White Dragon.",
"この道は必ず拓いてみせる
かつて王の剣であったこの魂にかけても","I will definitely open up this path.
I swear on the soul that once belonged to the king's sword.",
"貴殿が力を求め、《英霊眠りし道》を
訪れたこと――我らにとって僥倖であった","Your visit to the Heroic Spirit Sleeping Path, in search of power, was fortunate for us.",
"ご存命の王族は
ネド王子ただお一人、か――",The only surviving member of the royal family is Prince Nedo.,
"この道をさらに進むことで
貴殿は力を得よう
私にできるのは、その道を拓くことのみ","By advancing further down this path, you will gain power. All I can do is pave the way for you.",
貴殿の仲間はすでに道を拓いている,Your comrades have already opened up the path.,
"仲間の力をたどり、一時的に
この場を通ることも可能だろう
――貴殿の考えを聞こう","It would be possible to trace the power of our friends and temporarily pass through this place.
--Let's hear your thoughts!",
通常開拓する,Explore normally.,
仲間の力をたどる,Follow the power of your companion,
"覚者さま、こちらはフェルヤナ地方の
《英霊眠りし道》です","Master Arisen, this is the Heroic Spirit Sleeping Path in the Feryana region.",
"あの――
すでにご存じかとは思いますが
《英霊眠りし道》は特別な場所です
武具の準備が万端でないと、厳しいかと――","Um--
I'm sure you already know this, but ""Heroic Spirit Sleeping Path"" is a special place.
If you don't have your armaments all ready, it's going to be tough--",
"並の武具では、そう簡単に奥へは進めません
――そもそも土砂で埋まってもいます
どうにかして土砂を撤去できるなら、あるいは――","With ordinary equipment, it's not easy to advance deeper. Besides, it's buried in rubble. If there's any way to remove the debris, or perhaps...",
"進まれるんですね、覚者さま
お気をつけて――
無事のお戻りを祈っております","You are making progress, Lord Arisen.
Please take care. 
I pray for your safe return.",
"開拓した場所から再突入できるようになりました！
きっと英霊のご加護のおかげですね",We can now re-enter the area from where we explored! I'm sure it's thanks to the blessings of the Heroic Spirit.,
開拓した場所から再突入されますか？,Do you want to re-enter the place after development?,
はい,Yes,
いいえ,No,
"パーティーリーダーが行き先を
選ぶまでお待ちください――",Please wait for the party leader to choose the destination.,
"パーティーリーダーがお待ちのようです
《英霊眠りし道》へ突入されますか？","The party leader is waiting for you.
Would you like to enter ""Heroic Spirit Sleeping Path""?",
はい,Yes,
いいえ,No,
"覚者さま、まずは開拓状況や
装備品をご確認の上で進まれてはいかがでしょう？","Dear Arisen, first, would you like to check the development situation and equipment before proceeding?",
《英霊眠りし道》に入る,"Enter ""Heroic Spirit Sleeping Path""",
開拓状況確認,Check Reclamation Status,
報酬取得状況確認,Check Acquired Rewards Status,
"あれだけの土砂を
全て撤去されたのですね！
覚者の力というのは、我々には
想像も及ばないものです――",All that rubble has been completely cleared! The power of an Arisen is something beyond our imagination.,
